Training of 1d C-DNN network  |Epochs: 27 | End Accuracy after batch 50: 91% 

Epoch: 1, Idx: 50, Training Loss: 0.6723, Training Accuracy: 0.72%
Epoch: 2, Idx: 50, Training Loss: 0.6633, Training Accuracy: 0.56%
Epoch: 3, Idx: 50, Training Loss: 0.6400, Training Accuracy: 0.62%
Epoch: 4, Idx: 50, Training Loss: 0.5957, Training Accuracy: 0.75%
Epoch: 5, Idx: 50, Training Loss: 0.5503, Training Accuracy: 0.75%
Epoch: 6, Idx: 50, Training Loss: 0.5097, Training Accuracy: 0.75%
Epoch: 7, Idx: 50, Training Loss: 0.4753, Training Accuracy: 0.78%
Epoch: 8, Idx: 50, Training Loss: 0.4464, Training Accuracy: 0.78%
Epoch: 9, Idx: 50, Training Loss: 0.4243, Training Accuracy: 0.78%
Epoch: 10, Idx: 50, Training Loss: 0.4069, Training Accuracy: 0.81%
Epoch: 11, Idx: 50, Training Loss: 0.3919, Training Accuracy: 0.81%
Epoch: 12, Idx: 50, Training Loss: 0.3787, Training Accuracy: 0.81%
Epoch: 13, Idx: 50, Training Loss: 0.3661, Training Accuracy: 0.81%
Epoch: 14, Idx: 50, Training Loss: 0.3538, Training Accuracy: 0.81%
Epoch: 15, Idx: 50, Training Loss: 0.3410, Training Accuracy: 0.81%
Epoch: 16, Idx: 50, Training Loss: 0.3289, Training Accuracy: 0.81%
Epoch: 17, Idx: 50, Training Loss: 0.3175, Training Accuracy: 0.84%
Epoch: 18, Idx: 50, Training Loss: 0.3065, Training Accuracy: 0.88%
Epoch: 19, Idx: 50, Training Loss: 0.2961, Training Accuracy: 0.88%
Epoch: 20, Idx: 50, Training Loss: 0.2864, Training Accuracy: 0.88%
Epoch: 21, Idx: 50, Training Loss: 0.2763, Training Accuracy: 0.88%
Epoch: 22, Idx: 50, Training Loss: 0.2672, Training Accuracy: 0.88%
Epoch: 23, Idx: 50, Training Loss: 0.2584, Training Accuracy: 0.88%
Epoch: 24, Idx: 50, Training Loss: 0.2500, Training Accuracy: 0.88%
Epoch: 25, Idx: 50, Training Loss: 0.2420, Training Accuracy: 0.88%
Epoch: 26, Idx: 50, Training Loss: 0.2343, Training Accuracy: 0.88%
Epoch: 27, Idx: 50, Training Loss: 0.2272, Training Accuracy: 0.91%
